                           TEXT FILE ANALYSIS REPORT
                           Generated: 2025-03-26 11:59:16
Folder: /Users/muzammilmohammad/Desktop/CA chatbot/cleaned_data_1

+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------+------------------------------+----------------------------------+--------------------------------------+
| FILENAME                                                                                                                                                |    LINES |    WORDS | CHARS (TOTAL) | CHARS (NO SPACES) |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------+------------------------------+----------------------------------+--------------------------------------+
| incometaxindia.gov.in_Pages_ids_gujarat-cca.aspx.txt                                                                                                    |      858 |     8207 |        63123 |            55172 |
| www.incometax.gov.in_iec_foportal_help_identification-and-generation-of-applicable-itr-individual-faq.txt                                               |      621 |    15796 |       104808 |            89310 |
| www.incometax.gov.in_iec_foportal_downloads_income-tax-returns.txt                                                                                      |     1047 |    23339 |       162155 |           139455 |
| www.incometax.gov.in_iec_foportal_help_statutory-forms_popular-form_form3-DTVsV-um.txt                                                                  |      817 |    16487 |       111130 |            95079 |
| incometaxindia.gov.in_Pages_faqs.aspx?c=16.txt                                                                                                          |     1145 |    13920 |       102463 |            89040 |
| incometaxindia.gov.in_Pages_tutorials.aspx?c=6.txt                                                                                                      |     1148 |    16391 |       117112 |           101202 |
| www.incometax.gov.in_iec_foportal_help_all-topics_statutory-forms_popular-form_form24q-um.txt                                                           |      639 |     9399 |        69142 |            60034 |
| www.incometax.gov.in_iec_foportal_help_all-topics_statutory-forms_popular-form_form3ca-3cd-faq.txt                                                      |      646 |    10621 |        75978 |            65655 |
| incometaxindia.gov.in_Pages_e-governance-initiatives.aspx.txt                                                                                           |     1070 |    12632 |        93161 |            80996 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs+on+intimation+under+section+143&c=0.txt                                                                    |     1062 |    12519 |        92254 |            80172 |
| incometaxindia.gov.in_Pages_tps_ask-it.aspx.txt                                                                                                         |      812 |     8106 |        59785 |            52007 |
| incometaxindia.gov.in_Pages_about-us_history-of-direct-taxation.aspx.txt                                                                                |     1461 |   106861 |       707340 |           601367 |
| www.incometax.gov.in_iec_foportal_help_all-topics_statutory-forms_popular-form_form-10B-faq.txt                                                         |     1394 |    17728 |       120190 |           103453 |
| incometaxindia.gov.in_Pages_tax-services_pay-tax-online.aspx.txt                                                                                        |      890 |    10703 |        78986 |            68644 |
| www.incometax.gov.in_iec_foportal_help_all-topics_tax-payer_individual_senior-and-super-senior-citizens_returns-forms-applicable-to-me.txt              |      593 |     9087 |        66216 |            57399 |
| incometaxindia.gov.in_Pages_tools_income-tax-calculator-234ABC.aspx.txt                                                                                 |      875 |     8326 |        64809 |            56841 |
| www.incometax.gov.in_iec_foportal_downloads_income-tax-returns_read-general-instrutions.txt                                                             |      709 |    10064 |        73066 |            63345 |
| incometaxindia.gov.in_Pages_section-wise-statutes.aspx.txt                                                                                              |      933 |    53644 |       290390 |           237148 |
| incometaxindia.gov.in_Pages_tutorials.aspx?c=13.txt                                                                                                     |     1148 |    16248 |       116255 |           100488 |
| incometaxindia.gov.in_Pages_children-paintings.aspx.txt                                                                                                 |     1147 |    16421 |       115403 |            99527 |
| www.incometax.gov.in_iec_foportal_help_my-demat-account.txt                                                                                             |      750 |    13714 |        92640 |            79337 |
| incometaxindia.gov.in_Pages_ids_west-bengal-cca.aspx.txt                                                                                                |      858 |     7968 |        61283 |            53577 |
| incometaxindia.gov.in_Pages_useful-links.aspx.txt                                                                                                       |     1098 |    15230 |       111892 |            97152 |
| www.incometax.gov.in_iec_foportal_help_how-to-log-in-e-filing-portal.txt                                                                                |      998 |    13304 |        91073 |            78406 |
| incometaxindia.gov.in_Pages_utilities_Notified-Industrials-Estate-or-Areas.aspx.txt                                                                     |     1091 |    13550 |       100388 |            87266 |
| incometaxindia.gov.in_Pages_international-taxation_advance-ruling.aspx.txt                                                                              |     1050 |    15927 |       113246 |            97788 |
| www.incometax.gov.in_iec_foportal_help_response-to-defective-notice%20-against-updated-return_faqs.txt                                                  |      624 |    15181 |       104414 |            89523 |
| www.incometax.gov.in_iec_foportal_help_PrimaFacieAdjustment%28PFA%29andDefectiveNotice_faqs.txt                                                         |      597 |     8838 |        65196 |            56630 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs+on+intimation+under+section+143&c=1.txt                                                                    |     1062 |    12519 |        92254 |            80172 |
| www.incometax.gov.in_iec_foportal_help_all-topics_e-filing-services_managing-your-account_sample-page_faq.txt                                           |      593 |     8680 |        63950 |            55540 |
| incometaxindia.gov.in_Pages_recruitment-rules.aspx.txt                                                                                                  |     1154 |    14080 |       103592 |            90007 |
| www.incometax.gov.in_iec_foportal_downloads_income-tax-forms.txt                                                                                        |      949 |    14932 |       103572 |            89178 |
| www.incometax.gov.in_iec_foportal_help_how-to-generate-e-filing-evc.txt                                                                                 |      701 |    11750 |        82291 |            70888 |
| www.incometax.gov.in_iec_foportal_help_create-challan-form-crn.txt                                                                                      |      978 |    14429 |        97886 |            84061 |
| incometaxindia.gov.in_Pages_communications_index.aspx.txt                                                                                               |     1142 |    15393 |       109738 |            94810 |
| incometaxindia.gov.in_Pages_tax-payers-information_pamphlets.aspx.txt                                                                                   |     1081 |    14461 |       104388 |            90387 |
| www.incometax.gov.in_iec_foportal_help_all-topics_e-filing-services_managing-your-user-profile_know-your-ao_faq.txt                                     |      593 |     8944 |        65193 |            56519 |
| www.incometax.gov.in_iec_foportal_help_MyCAUserManual.txt                                                                                               |      967 |    17692 |       116824 |            99769 |
| incometaxindia.gov.in_Pages_tutorials.aspx?c=7.txt                                                                                                      |     1144 |    15727 |       113929 |            98683 |
| www.incometax.gov.in_iec_foportal_help_register-for-efiling-tax-deductor-and-collector.txt                                                              |      677 |    10997 |        78285 |            67624 |
| incometaxindia.gov.in_Pages_utilities_index.aspx?c=16.txt                                                                                               |     1093 |    15144 |       112150 |            97504 |
| www.incometax.gov.in_iec_foportal_help_all-topics_e-filing-services_managing-partners_perform-partner-specific-services_faq.txt                         |      593 |     8944 |        65655 |            56981 |
| incometaxindia.gov.in_Pages_rules_income-tax-rules-1962.aspx.txt                                                                                        |     1136 |    15241 |       111379 |            96625 |
| incometaxindia.gov.in_Pages_tutorials.aspx?c=5.txt                                                                                                      |     1148 |    16436 |       117494 |           101539 |
| incometaxindia.gov.in_Pages_faqs.aspx?c=15.txt                                                                                                          |     1091 |    12886 |        95961 |            83524 |
| www.incometax.gov.in_iec_foportal_help_form10b.txt                                                                                                      |      694 |    16665 |       108754 |            92440 |
| incometaxindia.gov.in_Pages_feedback.aspx.txt                                                                                                           |     1045 |    13628 |        99147 |            85984 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs+on+intimation+under+section+143&c=3.txt                                                                    |     1062 |    12519 |        92254 |            80172 |
| www.incometax.gov.in_iec_foportal_help_eri_registration.txt                                                                                             |      738 |    10401 |        74222 |            64224 |
| www.incometax.gov.in_iec_foportal_help_how-to-use-e-filing-dashboard-worklist.txt                                                                       |     1058 |    13597 |        95260 |            82317 |
| incometaxindia.gov.in_Pages_i-am_trust.aspx?k=Tax%20Payment.txt                                                                                         |     1170 |    16561 |       119312 |           103297 |
| incometaxindia.gov.in_Pages_tax-services_justification-report.aspx.txt                                                                                  |      873 |     9334 |        70812 |            61823 |
| incometaxindia.gov.in_Pages_accessibility-features.aspx.txt                                                                                             |     1050 |    14248 |       103211 |            89440 |
| incometaxindia.gov.in_Pages_utilities_Notified-Infrastructural-Activity.aspx.txt                                                                        |     1128 |    16623 |       123681 |           107452 |
| incometaxindia.gov.in_Pages_ids_up-west-cca.aspx.txt                                                                                                    |      858 |     8149 |        62381 |            54487 |
| www.incometax.gov.in_iec_foportal_help_statutory-forms_popular-form_form10ic-um.txt                                                                     |      686 |    15048 |       101853 |            87139 |
| www.incometax.gov.in_iec_foportal_help_bulkITRuploadandview.txt                                                                                         |     1211 |    16445 |       109734 |            94149 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs+in+respect+of+filling-up+of+the+Income-tax+return+forms+for+Assessment+Year+2024-25&c=7.txt                |     1059 |    12414 |        91685 |            79721 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs+on+Tax+Deducted+at+Source+(TDS)&c=7.txt                                                                    |     1062 |    12511 |        92150 |            80068 |
| incometaxindia.gov.in_Pages_tax-services_report-for-non-resident.aspx.txt                                                                               |      871 |     8946 |        68450 |            59847 |
| www.incometax.gov.in_iec_foportal_help_all-topics_e-filing-services_Filing-your-Return_ITR%207-Post-processing-queries-FAQs.txt                         |      597 |     8852 |        64914 |            56334 |
| incometaxindia.gov.in_Pages_tax-services_request-for-intimation.aspx.txt                                                                                |      874 |     8931 |        68666 |            60063 |
| www.incometax.gov.in_iec_foportal_help_verifyservicerequestofERIs.txt                                                                                   |      365 |     6395 |        45125 |            38971 |
| incometaxindia.gov.in_Pages_tps_tax-tools.aspx.txt                                                                                                      |     1200 |    11936 |        86302 |            74867 |
| www.incometax.gov.in_iec_foportal_help_testpage-faq.txt                                                                                                 |      593 |     8713 |        64093 |            55650 |
| www.incometax.gov.in_iec_foportal_help_tds-on-cash-withdrawal-us-194n-faq.txt                                                                           |      611 |    12891 |        86910 |            74307 |
| www.incometax.gov.in_iec_foportal_help_tax-calculator.txt                                                                                               |      593 |     8691 |        64115 |            55694 |
| incometaxindia.gov.in_Pages_utilities_Capital-Assets.aspx.txt                                                                                           |     1058 |    18097 |       138414 |           120777 |
| incometaxindia.gov.in_Pages_privacy-policy.aspx.txt                                                                                                     |     1055 |    16645 |       118473 |           102286 |
| incometaxindia.gov.in_Pages_tps_trp-login.aspx.txt                                                                                                      |      759 |     5960 |        47252 |            41581 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs+on+intimation+under+section+143&c=2.txt                                                                    |     1062 |    12519 |        92254 |            80172 |
| incometaxindia.gov.in_Pages_eoi_crs-implementation-package.aspx.txt                                                                                     |      876 |     8359 |        64656 |            56645 |
| incometaxindia.gov.in_Pages_recruitment-notices.aspx.txt                                                                                                |     1298 |    29967 |       207745 |           178353 |
| www.incometax.gov.in_iec_foportal_help_statutory-forms_popular-form_form15cb-um.txt                                                                     |      793 |    15289 |       104646 |            89800 |
| www.incometax.gov.in_iec_foportal_help_all-topics_mobile-app_everify-faq.txt                                                                            |      612 |    12373 |        85741 |            73657 |
| www.incometax.gov.in_iec_foportal_help_how-to-use-my-e-filing-profile-faq.txt                                                                           |      623 |    11079 |        77261 |            66469 |
| incometaxindia.gov.in_Pages_tutorials.aspx?c=4.txt                                                                                                      |     1148 |    16248 |       116263 |           100496 |
| incometaxindia.gov.in_Pages_utilities_Jurisdiction-of-Income-TaxAuthorities.aspx.txt                                                                    |     1126 |    16529 |       120486 |           104349 |
| incometaxindia.gov.in_Pages_i-am_foreign-company.aspx?k=Tax%20Payment.txt                                                                               |     1173 |    16719 |       119891 |           103719 |
| incometaxindia.gov.in_Pages_tutorials.aspx?c=0.txt                                                                                                      |     1148 |    16219 |       116929 |           101191 |
| incometaxindia.gov.in_Pages_tax-services_apply-for-tan-online.aspx.txt                                                                                  |      894 |    10935 |        79351 |            68766 |
| www.incometax.gov.in_iec_foportal_help_offline-utility-statutory-forms-faq.txt                                                                          |      619 |    15158 |       100299 |            85437 |
| www.incometax.gov.in_iec_foportal_help_all-topics_e-filing-services_responding-to-notices.txt                                                           |      817 |    10015 |        75134 |            65468 |
| www.incometax.gov.in_iec_foportal_help_statutory-forms_popular-form_form67-um.txt                                                                       |      695 |    15295 |       100587 |            85643 |
| incometaxindia.gov.in_Pages_accessibility-options.aspx.txt                                                                                              |     1064 |    17841 |       124460 |           107021 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs+on+intimation+under+section+143&c=6.txt                                                                    |     1062 |    12519 |        92254 |            80172 |
| incometaxindia.gov.in_Pages_downloads_wealth-tax-return.aspx.txt                                                                                        |     1073 |    14191 |       101799 |            88064 |
| www.incometax.gov.in_iec_foportal_help_my-bank-account.txt                                                                                              |      843 |    18710 |       122372 |           104152 |
| www.incometax.gov.in_iec_foportal_help_how-to-register-e-filing-dsc.txt                                                                                 |      652 |    11281 |        80034 |            69064 |
| www.incometax.gov.in_iec_foportal_help_respond-to-outstanding-demand.txt                                                                                |      710 |    10620 |        75839 |            65580 |
| www.incometax.gov.in_iec_foportal_help_all-topics_tax-payer_individual.txt                                                                              |      737 |    11086 |        80165 |            69421 |
| www.incometax.gov.in_iec_foportal_help_addclient.txt                                                                                                    |     1182 |    18197 |       119454 |           102078 |
| incometaxindia.gov.in_Pages_income-tax-offices-in-india.aspx.txt                                                                                        |     1152 |    17865 |       125358 |           108010 |
| incometaxindia.gov.in_Pages_tax-services_form16b-download.aspx.txt                                                                                      |      874 |     9544 |        71384 |            62186 |
| www.incometax.gov.in_iec_foportal_help_make-payment-offline-faq.txt                                                                                     |      610 |    12943 |        87579 |            74918 |
| incometaxindia.gov.in_Pages_tax-services_file-validation-utility.aspx.txt                                                                               |      881 |    10837 |        80442 |            69958 |
| incometaxindia.gov.in_Pages_i-am_non-resident.aspx?k=Non-Resident%20Indian_Person%20of%20Indian%20Origin.txt                                            |     1188 |    17317 |       127049 |           110289 |
| incometaxindia.gov.in_Pages_tutorials.aspx?c=15.txt                                                                                                     |     1144 |    15761 |       114396 |            99116 |
| incometaxindia.gov.in_Pages_tax-services_status-of-form-24g.aspx.txt                                                                                    |      870 |    10059 |        73339 |            63623 |
| incometaxindia.gov.in_Pages_income-from-capital-gains.aspx?k=Special%20provisions%20for%20sale%20of%20Debentures.txt                                    |      905 |     8983 |        70264 |            61655 |
| incometaxindia.gov.in_Pages_tds-sale-of-immovable-property.aspx.txt                                                                                     |     1059 |    16268 |       115057 |            99235 |
| www.incometax.gov.in_iec_foportal_help_taxpayer-ledger.txt                                                                                              |      593 |     8691 |        64137 |            55716 |
| incometaxindia.gov.in_Pages_utility-income-tax-act-vis-a-vis-bill.aspx.txt                                                                              |      878 |   212855 |      1325903 |          1112189 |
| www.incometax.gov.in_iec_foportal_help_register-for-efiling-ca-faq.txt                                                                                  |      597 |    10516 |        73947 |            63705 |
| www.incometax.gov.in_iec_foportal_help_all-topics_tax-payer_individual_senior-and-super-senior-citizens_tax-slabs-for-me.txt                            |      593 |     9043 |        65886 |            57113 |
| www.incometax.gov.in_iec_foportal_help_all-topics_tax-payer_individual_non-resident_returns-forms-applicable-to-me.txt                                  |      593 |     9087 |        66216 |            57399 |
| incometaxindia.gov.in_Pages_communications_notifications.aspx.txt                                                                                       |     1159 |    15472 |       110156 |            95106 |
| incometaxindia.gov.in_Pages_search-tips.aspx.txt                                                                                                        |     1052 |    21153 |       143526 |           122851 |
| www.incometax.gov.in_iec_foportal_help_statutory-forms_popular-form_form29b-faq.txt                                                                     |      612 |    12789 |        86714 |            74214 |
| incometaxindia.gov.in_Pages_publicity-campaign.aspx?year=2018.txt                                                                                       |      951 |    10164 |        75805 |            65989 |
| incometaxindia.gov.in_Pages_misc-communications.aspx.txt                                                                                                |      970 |    11564 |        86205 |            75021 |
| incometaxindia.gov.in_Pages_tps_about-vertical-map.aspx.txt                                                                                             |      953 |    16847 |       120658 |           103770 |
| www.incometax.gov.in_iec_foportal_help_Add-Authorised-signatory.txt                                                                                     |      937 |    12554 |        87172 |            75192 |
| incometaxindia.gov.in_Pages_acts_right-information-act.aspx.txt                                                                                         |     1243 |    44010 |       314236 |           270710 |
| incometaxindia.gov.in_Pages_downloads_forms.aspx.txt                                                                                                    |     1124 |    16226 |       115473 |            99658 |
| incometaxindia.gov.in_Pages_international-taxation_provision-non-resident.aspx.txt                                                                      |     1069 |    15876 |       117482 |           102083 |
| incometaxindia.gov.in_Pages_tax-services_online-filing.aspx.txt                                                                                         |      884 |     9873 |        72490 |            62922 |
| incometaxindia.gov.in_Pages_ids_allcca.aspx.txt                                                                                                         |      939 |     8668 |        65256 |            56982 |
| incometaxindia.gov.in_Pages_tutorials.aspx?c=1.txt                                                                                                      |     1148 |    16574 |       118019 |           101926 |
| incometaxindia.gov.in_Pages_faqs.aspx?c=13.txt                                                                                                          |     1145 |    13920 |       102471 |            89048 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs%20on%20Tax%20Deducted%20at%20Source%20(TDS).txt                                                            |     1062 |    12863 |        94749 |            82316 |
| incometaxindia.gov.in_Pages_tax-services_tag-challan-tds-statement.aspx.txt                                                                             |      870 |     8990 |        67927 |            59279 |
| incometaxindia.gov.in_Pages_tutorials.aspx?c=3.txt                                                                                                      |     1148 |    16272 |       116472 |           100681 |
| incometaxindia.gov.in_Pages_tax-services_refund-reissue.aspx.txt                                                                                        |      878 |     9840 |        73550 |            64042 |
| incometaxindia.gov.in_Pages_income-tax-bill-2025.aspx.txt                                                                                               |      882 |     9525 |        73086 |            63917 |
| www.incometax.gov.in_iec_foportal_help_statutory-forms_popular-form_Form_34_BC.txt                                                                      |     2401 |    52826 |       326925 |           276039 |
| incometaxindia.gov.in_Pages_eoi_exchange-of-information.aspx.txt                                                                                        |      762 |     8976 |        67340 |            58658 |
| incometaxindia.gov.in_Pages_acts_prohibition-of-benami-property-transactions-act-1988.aspx.txt                                                          |     1071 |    39324 |       283875 |           244926 |
| incometaxindia.gov.in_Pages_operation-clean-money.aspx.txt                                                                                              |      804 |    10369 |        80394 |            70352 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs+on+intimation+under+section+143&c=5.txt                                                                    |     1062 |    12519 |        92254 |            80172 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs%20on%20Provisions%20useful%20for%20non%20residents.txt                                                     |     1062 |    12871 |        94901 |            82468 |
| incometaxindia.gov.in_Pages_income-from-house-property.aspx?k=Self-occupied%20house%20property.txt                                                      |      895 |     8572 |        67600 |            59396 |
