0,1,2
S. No.,PARTICULARS,"Annexure
No."
1.,"Application for registration of a charitable
or religious trust or institution under
Section 12A [Form No.10A]",
2.,"Audit report under section 12A(b)
[Form No. 10B]",II
3.,"Notice to the Assessing Officer/Prescribed
III Authority under Section 11(2) [Form No.10]",
4.,"Forms and modes of investing or depositing
money in Section 11(5)",IV
5.,List of persons specified in Section 13(3),V
6.,"Application for grant or continuance of
approval under Section 80G(5)(vi) of the
Income -tax Act, 1961 [FormNo. 10G]",VI
7.,"Application for grant or continuance of
exemption under Section 10(23C)(iv)
and (v) for the year [Form No.56]",VII
8.,"Application for grant or continuance of
exemption under section l0(23C)(vi)
and (via) for the year [FormNo.56D]",VIII
9.,"Application for approval under Section
35(1)(ii) or (iii) in the case of a research
association [Form No.3CF-l]",IX
10.,Application for approval under Section,X
