0,1,2
2.,"Orders against which appeal
can be filed before appellate
tribunal:",23
3.,"Time limit for filing appeal before
ITAT",26
4.,Form of appeal,26
5.,"Check list of documents to be
filed",26
6.,Who can sign form no.36 or 36B,27
7.,"Fees to be paid by the taxpayer
for filing appeal before the ITAT",28
8.,Memorandum of cross objections,29
9.,"Language to be used for filling
in form no. 36/36A",30
10.,"Who is authorized to receive the
appeal in ITAT",30
11.,"Condonation of delay in filing
appeal/ memorandum of
objections",30
12.,Procedure followed in the ITAT,31
