0,1,2
16.,"Exemption under the United Nations
(Privileges and Immunities) Act 1947",22
17.,Specialised agencies of United Nations,23
18.,Other International Organisations,24
19.,"Profit and gains of business or
profession",25
20.,"Income from House Property and Capital
Gains.",25
21.,Income from Other Sources,26
22.,Double taxation relief,27
23.,Double taxation avoidance agreements,27
24.,Unilateral relief from double taxation,30
25.,Bar on recovery,32
26.,"Rate of exchange for conversion into
rupees of income expressed in foreign
currency",32
27.,Annexure ‘A’,35
28.,Annexure ‘B’,39
29.,Annexure ‘C’,40
